sn=4, dn=10, pc=0.1[7459, 9548, 5724, 6217, 9043, 2030, 6813, 7924, 545, 1891, 2931, 8445, 6216, 6207, 8356, 1050, 1597, 9694, 8302, 5684, 8452, 9730, 9588, 2083, 8761, 4638, 1363, 7421, 8644, 4279, 5041, 5980, 5696, 9069, 8741, 3341, 7789, 2016, 4971, 6717, 4562, 5899, 4359, 8995, 9920, 3260, 115, 6948, 839, 1835]
sn=4, dn=10, pc=0.3[5494, 3082, 1984, 3446, 9153, 3470, 5751, 393, 9884, 6972, 8828, 1534, 7001, 8903, 8611, 6627, 8098, 3082, 6126, 5765, 7485, 7455, 5707, 6759, 8739, 6483, 8048, 1168, 2275, 5113, 6966, 7400, 2671, 4177, 2603, 4794, 5437, 7014, 5527, 7378, 7925, 8168, 6335, 8590, 6924, 2507, 9581, 3279, 7238, 6636]
sn=4, dn=15, pc=0.1[9590, 5687, 867, 8742, 5548, 1667, 8467, 7359, 2329, 8817, 1597, 2561, 2355, 1286, 5510, 3105, 6733, 4311, 7881, 2904, 3946, 5285, 5111, 1945, 8419, 3521, 2809, 9068, 4158, 255, 8445, 2123, 5569, 1978, 9388, 3972, 2668, 9104, 187, 6389, 5620, 401, 7878, 5055, 7455, 4308, 2771, 8998, 469, 3879]
sn=4, dn=15, pc=0.3[2550, 2503, 4563, 2082, 6776, 7056, 3069, 3342, 5017, 7470, 1099, 1537, 4553, 9304, 9467, 3297, 3330, 1705, 4743, 6870, 3174, 1228, 9748, 710, 6623, 5780, 5520, 2806, 2928, 4751, 3533, 8881, 7536, 3575, 8249, 4585, 5194, 4249, 5650, 2099, 4525, 9771, 6644, 4002, 4371, 1647, 9320, 2869, 9759, 6933]
sn=4, dn=20, pc=0.1[9747, 6076, 5018, 2488, 2709, 2105, 2071, 6671, 7150, 2540, 2919, 3712, 1091, 7706, 6585, 486, 1999, 1996, 7353, 1413, 3368, 3822, 4955, 5769, 4371, 3910, 5449, 4915, 1249, 1480, 3948, 6199, 4810, 7163, 8308, 208, 7672, 3703, 5733, 906, 1789, 8237, 8517, 9062, 4262, 7155, 9570, 9998, 2785, 7250]
sn=4, dn=20, pc=0.3[8823, 1476, 4543, 6091, 3482, 6711, 9209, 226, 8799, 4942, 4934, 492, 3357, 8504, 1971, 1676, 9980, 8476, 228, 2319, 9163, 5481, 156, 5566, 8348, 7336, 2027, 4293, 6630, 9092, 9461, 3051, 7580, 1060, 2657, 56, 56, 1359, 8626, 2388, 1666, 1485, 1069, 6581, 5704, 5905, 9526, 9135, 8056, 9824]
sn=6, dn=10, pc=0.1[5943, 3749, 2452, 2969, 1349, 2702, 8334, 4717, 256, 5566, 7317, 7587, 4560, 365, 6485, 1783, 7624, 7757, 1457, 6758, 8110, 4696, 7491, 3706, 3543, 2878, 7197, 9744, 4314, 2519, 5138, 1189, 8447, 757, 9306, 9387, 8569, 1259, 973, 8449, 1239, 2782, 5294, 2555, 6437, 2096, 8014, 2847, 2071, 5957]
sn=6, dn=10, pc=0.3[1443, 6299, 8070, 8890, 5218, 4537, 5130, 3482, 9132, 2601, 46, 8537, 8579, 9818, 4211, 2169, 5839, 9913, 4710, 2315, 3721, 603, 5123, 4176, 3435, 8015, 1430, 2315, 5090, 1220, 3995, 6281, 1979, 1870, 5037, 539, 1065, 9069, 190, 909, 4454, 4890, 7735, 8232, 925, 640, 3555, 2458, 2850, 874]
sn=6, dn=15, pc=0.1[3021, 8403, 9799, 6530, 6400, 1332, 7614, 6978, 424, 9861, 6996, 6315, 8746, 9630, 6285, 3273, 9531, 9346, 3808, 6622, 9786, 9307, 3430, 3055, 2815, 723, 5495, 5984, 2148, 558, 7381, 8530, 7751, 1033, 1555, 4467, 4076, 7592, 5584, 8504, 9201, 8200, 9284, 9847, 1038, 448, 3496, 2157, 2077, 6062]
sn=6, dn=15, pc=0.3[7376, 9556, 8291, 3465, 9900, 9162, 1693, 6209, 3515, 3895, 7332, 3703, 5335, 8740, 9096, 216, 2334, 449, 7604, 135, 8896, 4273, 4611, 3274, 5856, 483, 1682, 291, 1485, 8754, 5372, 3233, 6485, 8066, 4748, 1835, 333, 613, 9093, 5008, 8427, 1391, 7460, 2519, 3373, 4598, 8129, 4374, 4613, 271]
sn=6, dn=20, pc=0.1[3157, 6989, 728, 1958, 2405, 3623, 5762, 8360, 8542, 2900, 2151, 5986, 6312, 7159, 4358, 8925, 5544, 3943, 1143, 5742, 4327, 5379, 6013, 8841, 3337, 6183, 7981, 58, 9334, 173, 7635, 455, 7695, 5963, 6725, 4373, 5760, 2728, 1643, 6216, 1792, 9654, 3654, 7697, 1173, 4166, 3630, 6994, 1254, 9791]
sn=6, dn=20, pc=0.3[1846, 9038, 3711, 1697, 153, 6979, 2383, 6652, 8248, 4006, 2548, 9970, 7371, 5276, 4620, 3468, 2648, 1687, 5109, 7371, 2148, 6109, 4864, 6143, 4542, 3069, 4900, 6909, 1576, 7550, 3277, 4716, 9799, 3084, 9740, 7314, 9457, 9319, 2579, 1332, 1779, 5552, 9084, 2035, 907, 835, 2499, 3625, 2642, 6796]
sn=8, dn=10, pc=0.1[56, 488, 9587, 5318, 8648, 1434, 5891, 2943, 1335, 5383, 3883, 2481, 8314, 3381, 536, 3462, 1721, 1694, 7502, 1276, 3306, 2416, 6802, 1108, 4619, 4, 7147, 1816, 1918, 8802, 6809, 7032, 7417, 1162, 8605, 237, 1631, 666, 6897, 8383, 5217, 2817, 8831, 5582, 4405, 4122, 8007, 4112, 7886, 1823]
sn=8, dn=10, pc=0.3[9272, 2649, 9793, 3189, 6350, 6656, 4399, 178, 9239, 7235, 3869, 4393, 1001, 3349, 6079, 2305, 6142, 5662, 8406, 6198, 3799, 6996, 796, 6427, 1381, 6091, 5376, 2730, 2082, 5127, 7311, 5934, 4258, 7691, 8915, 472, 9880, 5059, 3866, 6583, 9030, 4859, 4607, 8897, 1218, 6695, 2830, 6832, 8131, 5834]
sn=8, dn=15, pc=0.1[9446, 9344, 2417, 9943, 6267, 8818, 1260, 5134, 5368, 9316, 2682, 5132, 7087, 4972, 9025, 1152, 7880, 2710, 231, 4182, 4538, 9938, 5996, 6568, 7767, 4848, 6557, 9110, 244, 3622, 6519, 1446, 8415, 2124, 3975, 1570, 5231, 1520, 1061, 4894, 5948, 3650, 1219, 1821, 4407, 4686, 9601, 9959, 4088, 5339]
sn=8, dn=15, pc=0.3[2196, 4021, 8565, 623, 5881, 5079, 7799, 6684, 742, 7211, 3003, 2154, 1678, 2902, 8245, 9146, 6481, 56, 5531, 3617, 3024, 5942, 8230, 9469, 1321, 2305, 1495, 2844, 366, 3077, 7237, 9410, 6248, 4949, 2731, 9981, 6517, 1956, 1017, 1090, 4467, 434, 3000, 8037, 7751, 2299, 1484, 4140, 1385, 4718]
sn=8, dn=20, pc=0.1[6778, 5048, 8854, 9015, 6588, 8871, 4142, 5154, 7837, 8087, 4232, 249, 3468, 2081, 836, 8634, 2202, 8786, 5275, 1654, 6453, 3489, 3126, 7270, 2615, 5782, 571, 412, 4645, 7934, 521, 130, 6970, 125, 4442, 3424, 6700, 2300, 7637, 7972, 7748, 8652, 9965, 9582, 4857, 6570, 6110, 9258, 8014, 95]
sn=8, dn=20, pc=0.3[8827, 513, 9476, 7556, 3106, 6874, 9062, 545, 3782, 9494, 8809, 9105, 1101, 8698, 2684, 4200, 7237, 5015, 1607, 245, 8786, 2424, 7162, 2410, 8373, 9839, 1681, 4028, 3044, 6616, 2186, 1644, 4389, 2255, 8942, 2385, 46, 2697, 9385, 5439, 4172, 6055, 8318, 5838, 4588, 1041, 248, 4180, 6172, 6637]
