AllocationInstance([6.0 13.0 25.0 32.0 60.0 61.0 68.0 82.0; 36.0 37.0 53.0 53.0 71.0 73.0 89.0 96.0], [5.0 6.0 8.0 9.0 25.0 26.0 34.0 42.0 43.0 44.0 46.0 54.0 60.0 61.0 62.0 82.0 93.0 94.0 94.0 95.0; 4.0 7.0 11.0 16.0 19.0 20.0 21.0 36.0 37.0 52.0 56.0 58.0 61.0 62.0 67.0 71.0 77.0 78.0 78.0 97.0], 298.0, [19.0, 84.0, 9.0, 92.0, 87.0, 99.0, 54.0, 48.0, 20.0, 75.0, 54.0, 26.0, 15.0, 4.0, 45.0, 43.0, 36.0, 92.0, 51.0, 42.0], 0.3)
AllocationInstance([2.0 9.0 19.0 24.0 86.0 90.0 99.0 100.0; 5.0 8.0 21.0 45.0 45.0 51.0 58.0 93.0], [1.0 9.0 12.0 24.0 35.0 35.0 37.0 37.0 39.0 40.0 57.0 62.0 62.0 67.0 67.0 71.0 80.0 86.0 90.0 96.0; 5.0 7.0 8.0 8.0 15.0 24.0 27.0 28.0 30.0 36.0 46.0 49.0 55.0 55.0 74.0 75.0 81.0 92.0 96.0 100.0], 283.0, [71.0, 71.0, 95.0, 49.0, 2.0, 31.0, 22.0, 7.0, 35.0, 1.0, 6.0, 60.0, 66.0, 79.0, 87.0, 25.0, 76.0, 35.0, 99.0, 27.0], 0.3)
AllocationInstance([51.0 52.0 59.0 64.0 77.0 82.0 84.0 84.0; 7.0 25.0 50.0 62.0 68.0 84.0 84.0 96.0], [4.0 7.0 15.0 16.0 48.0 49.0 50.0 56.0 60.0 69.0 73.0 75.0 76.0 80.0 81.0 82.0 84.0 89.0 92.0 95.0; 2.0 9.0 10.0 11.0 19.0 30.0 31.0 36.0 38.0 39.0 42.0 52.0 56.0 65.0 66.0 69.0 77.0 83.0 84.0 87.0], 237.0, [18.0, 57.0, 75.0, 38.0, 12.0, 56.0, 40.0, 11.0, 36.0, 33.0, 25.0, 6.0, 73.0, 55.0, 72.0, 13.0, 49.0, 55.0, 51.0, 17.0], 0.3)
AllocationInstance([8.0 39.0 43.0 50.0 53.0 74.0 84.0 98.0; 5.0 6.0 12.0 65.0 91.0 92.0 92.0 93.0], [4.0 5.0 8.0 8.0 9.0 12.0 12.0 16.0 18.0 22.0 26.0 34.0 34.0 48.0 54.0 63.0 73.0 80.0 98.0 98.0; 1.0 4.0 10.0 12.0 17.0 25.0 25.0 32.0 39.0 42.0 43.0 44.0 49.0 52.0 61.0 65.0 71.0 74.0 86.0 96.0], 320.0, [45.0, 74.0, 92.0, 67.0, 66.0, 19.0, 73.0, 74.0, 15.0, 88.0, 51.0, 49.0, 1.0, 26.0, 13.0, 95.0, 76.0, 50.0, 65.0, 28.0], 0.3)
AllocationInstance([1.0 22.0 26.0 61.0 74.0 78.0 89.0 96.0; 20.0 30.0 32.0 37.0 37.0 53.0 97.0 99.0], [2.0 7.0 15.0 19.0 36.0 39.0 43.0 43.0 44.0 51.0 52.0 56.0 56.0 72.0 75.0 75.0 79.0 80.0 88.0 93.0; 11.0 18.0 19.0 19.0 19.0 21.0 21.0 28.0 33.0 39.0 43.0 43.0 59.0 61.0 62.0 82.0 87.0 88.0 96.0 100.0], 281.0, [46.0, 84.0, 34.0, 14.0, 68.0, 8.0, 72.0, 7.0, 35.0, 27.0, 92.0, 74.0, 10.0, 73.0, 5.0, 85.0, 59.0, 34.0, 68.0, 44.0], 0.3)
AllocationInstance([5.0 16.0 20.0 25.0 46.0 68.0 73.0 81.0; 11.0 36.0 36.0 43.0 48.0 54.0 56.0 83.0], [2.0 4.0 11.0 28.0 29.0 36.0 36.0 40.0 41.0 48.0 57.0 63.0 65.0 70.0 74.0 79.0 84.0 84.0 94.0 95.0; 1.0 4.0 4.0 6.0 6.0 9.0 16.0 18.0 29.0 32.0 44.0 45.0 51.0 72.0 77.0 78.0 81.0 88.0 93.0 97.0], 305.0, [97.0, 48.0, 68.0, 100.0, 57.0, 4.0, 21.0, 83.0, 22.0, 100.0, 81.0, 17.0, 19.0, 4.0, 21.0, 27.0, 56.0, 10.0, 83.0, 99.0], 0.3)
AllocationInstance([10.0 11.0 47.0 48.0 73.0 77.0 80.0 83.0; 15.0 17.0 26.0 41.0 46.0 65.0 83.0 96.0], [7.0 8.0 16.0 21.0 24.0 37.0 41.0 44.0 46.0 59.0 65.0 68.0 72.0 76.0 77.0 79.0 81.0 83.0 96.0 98.0; 2.0 4.0 5.0 17.0 21.0 24.0 29.0 36.0 41.0 42.0 47.0 55.0 59.0 61.0 64.0 69.0 86.0 88.0 95.0 100.0], 333.0, [80.0, 43.0, 53.0, 57.0, 64.0, 35.0, 78.0, 58.0, 64.0, 64.0, 88.0, 90.0, 39.0, 32.0, 62.0, 3.0, 4.0, 65.0, 49.0, 85.0], 0.3)
AllocationInstance([21.0 22.0 39.0 41.0 42.0 43.0 63.0 93.0; 4.0 22.0 22.0 38.0 56.0 69.0 85.0 93.0], [3.0 29.0 31.0 36.0 38.0 40.0 47.0 51.0 53.0 58.0 61.0 62.0 82.0 83.0 85.0 87.0 90.0 93.0 94.0 96.0; 2.0 5.0 14.0 18.0 24.0 36.0 38.0 39.0 42.0 45.0 49.0 52.0 57.0 59.0 68.0 73.0 74.0 76.0 79.0 94.0], 363.0, [99.0, 52.0, 17.0, 97.0, 73.0, 52.0, 53.0, 62.0, 59.0, 57.0, 90.0, 90.0, 43.0, 91.0, 83.0, 41.0, 14.0, 54.0, 48.0, 35.0], 0.3)
AllocationInstance([3.0 35.0 42.0 42.0 50.0 55.0 87.0 90.0; 4.0 7.0 7.0 17.0 28.0 69.0 71.0 71.0], [1.0 10.0 22.0 23.0 23.0 32.0 33.0 37.0 39.0 49.0 51.0 67.0 67.0 70.0 79.0 84.0 85.0 94.0 97.0 98.0; 5.0 9.0 19.0 27.0 27.0 28.0 28.0 34.0 41.0 52.0 52.0 55.0 66.0 78.0 82.0 82.0 91.0 92.0 97.0 99.0], 318.0, [79.0, 55.0, 31.0, 76.0, 46.0, 97.0, 57.0, 88.0, 9.0, 15.0, 75.0, 97.0, 4.0, 59.0, 12.0, 19.0, 18.0, 39.0, 99.0, 85.0], 0.3)
AllocationInstance([10.0 22.0 33.0 49.0 55.0 67.0 68.0 69.0; 3.0 13.0 17.0 46.0 79.0 83.0 87.0 96.0], [3.0 4.0 7.0 17.0 20.0 21.0 28.0 30.0 33.0 45.0 49.0 49.0 52.0 59.0 63.0 67.0 71.0 74.0 78.0 80.0; 4.0 5.0 9.0 15.0 20.0 21.0 31.0 32.0 36.0 38.0 40.0 42.0 65.0 67.0 70.0 78.0 90.0 96.0 97.0 98.0], 315.0, [28.0, 77.0, 14.0, 46.0, 40.0, 68.0, 51.0, 38.0, 55.0, 50.0, 79.0, 3.0, 27.0, 94.0, 22.0, 25.0, 74.0, 89.0, 72.0, 100.0], 0.3)
